outcome,n_snps,n_outliers,ivw_beta_full,ivw_beta_corrected,ivw_se_corrected,ivw_p_corrected,or_corrected,iterations
ALLERG_ASTHMA,93,17,0.8414810043551096,0.8512854316797401,0.09016669694066765,0.0,2.342656241877074,2
ALLERG_RHINITIS,93,12,0.4850807357802657,0.5831192789218208,0.06647935929489704,0.0,1.7916182808107328,2
L12_ATOPIC,93,16,0.6402973800129684,0.49179665798823735,0.06539921513548222,5.484501741648273e-14,1.6352515700517865,2
