n_steiger_removed,n_snp,mean_F,ivw_beta,ivw_se,ivw_p,ivw_or,ivw_re_beta,ivw_re_p,cochran_q,cochran_q_p,egger_beta,egger_p,egger_intercept,egger_int_p,wmed_beta,wmed_p,n_presso_outliers,trait,outcome,n_out,presso_beta,presso_p,ivw_q,ivw_fdr05
0,5,35.839037266720574,0.11091669386845526,0.0319340862517817,0.0005140984354838896,1.1173018248845636,0.11091669386845526,0.37851604786079784,62.22345414545147,9.885425811262394e-13,0.1375482557029471,0.3208894029000946,0.018989221729375838,0.5138907902369841,0.010852798789712556,0.9424220347127048,3,GrimAge,ALLERG_ASTHMA,283740,,,0.0011016395046083347,True
0,5,35.839037266720574,-0.026714884528899016,0.02137547404867976,0.21137574322038066,0.9736388014396982,-0.026714884528899016,0.6482584100844258,30.023197702440527,4.841502442398671e-06,-0.004077333431452538,0.9344568517865071,0.01593601489961054,0.18180620390414773,0.025576298537569337,0.7638690245277391,3,GrimAge,L12_ATOPIC,464119,,,0.226474010593265,False
0,5,35.839037266720574,-0.00014842620940936372,0.02933140056574105,0.9959624677580692,0.9998515848052155,-0.00014842620940936372,0.9985439688411946,30.757702026234867,3.430309447716162e-06,0.01229148353928111,0.8952210847646274,0.008841451888202729,0.6450065462157517,-0.09365758951084216,0.38137019118256577,2,GrimAge,ALLERG_RHINITIS,490219,-0.10386421405498934,0.003462496917518987,0.9959624677580692,False
0,56,54.07377010407351,0.0193100976482815,0.007373032824284832,0.00881835759313443,1.0194977434574162,0.0193100976482815,0.029285205214246934,79.41003455676565,0.017294770330161358,0.018420637980422618,0.03903156176433353,-0.003392536032304141,0.36379201065799227,0.029771519838601213,0.0,1,Hannum,ALLERG_ASTHMA,283740,0.015151995502561742,0.040681428052465884,0.016534420487127055,True
0,56,54.07377010407351,0.009267154804618745,0.004910751195691883,0.059144789438002165,1.009310227835704,0.009267154804618745,0.059144789438002165,27.184452903947577,0.9994046082170814,0.010015960156111534,0.00298678649799089,0.0029007746737590165,0.043396124760536045,0.009899609242269793,3.2272962080526213e-10,1,Hannum,L12_ATOPIC,464119,0.007405416254316984,0.1338100698066551,0.08753319646357445,False
0,56,54.07377010407351,-0.027770585160008195,0.006756517118176393,3.95329621052376e-05,0.9726114727137516,-0.027770585160008195,0.0016980040255696327,94.32694763928063,0.0007668455053539969,-0.027070250030928236,0.0024625294294406963,0.0026756692593564095,0.47437601910110566,-0.036900940228341166,0.0,2,Hannum,ALLERG_RHINITIS,490219,-0.03409756794735607,5.8289931326172e-07,9.8832405263094e-05,True
0,133,130.89309256119125,-0.014004594978069052,0.0033695176342471737,3.234981420852101e-05,0.9860930131766822,-0.014004594978069052,0.015053381582386338,385.8128563019152,0.0,-0.015424956715013621,0.006745482107433753,0.007809141546533365,0.019075596505378472,-0.05689229686242961,0.0,17,IEAA,ALLERG_ASTHMA,283740,-0.04594733237651833,0.0,9.704944262556303e-05,True
0,133,130.89309256119125,-0.004192104543932167,0.0022649607363169977,0.06419101073995459,0.995816670060686,-0.004192104543932167,0.06419101073995459,97.55761211693944,0.9891782418100961,-0.003947302921158063,0.04328674998732329,-0.0013959994008378939,0.21705329559187442,-0.007709250851305335,0.0,1,IEAA,L12_ATOPIC,464119,-0.004609238887471984,0.04204826011841356,0.08753319646357445,False
0,133,130.89309256119125,0.005509707319350415,0.0031122674936183243,0.07667395891445117,1.005524913671412,0.005509707319350415,0.07667395891445117,108.99060034469396,0.9287134438055775,0.005315807941625802,0.062018741978186354,0.0011043503873208965,0.502190153250655,-0.003255819454958365,0.0,0,IEAA,ALLERG_RHINITIS,490219,0.005509707319350415,0.07667395891445117,0.09584244864306396,False
0,89,69.24580254015449,-0.056990324120883,0.005137566080018194,0.0,0.944603209188771,-0.056990324120883,0.0,96.61151316441979,0.24858231353489324,-0.056825833967339784,0.0,0.0009416035476540371,0.7420466025493262,-0.07779067370861781,0.0,0,PhenoAge,ALLERG_ASTHMA,283740,-0.056990324120883,0.0,0.0,True
