n_snp,b_ivw,se_ivw,p_ivw,q,q_p,b_wm,se_wm,p_wm,b_egger,se_egger,p_egger,egger_int,egger_int_p,exposure,stratum,or_ivw,or_lo,or_hi,q_fdr
95,2.3019744484423263,0.11095490649413156,1.3065469451676847e-95,424.43036593841504,1.708670185543991e-43,6.602163706726742,0.051172105931461036,0.0,2.681443866108494,0.11421895457871337,7.115993665638457e-122,0.0016212905136707436,0.6724877767987282,Frailty,adult_onset,9.993895418537205,8.04059295998924,12.421713937474657,5.226187780670739e-95
95,3.204147650221904,0.19073683397015198,2.4908145415404614e-63,618.9081748208101,3.1787772656555343e-78,11.014256428621591,0.07284696497763013,0.0,3.894915077608871,0.1781636865824916,6.050265692621345e-106,0.012072948726450776,0.043513357890611004,Frailty,childhood_onset,24.634493860056498,16.95060380050057,35.80157349458195,4.981629083080923e-63
92,0.8023508449062202,0.11143254355705377,6.006795983360062e-13,454.64490150480793,9.766548031333497e-50,21.10115479304988,0.04885653391694402,0.0,0.829343865151312,0.11207422472277898,1.36233899907329e-13,0.00185681068856001,0.5078609734426489,index,adult_onset,2.2307789845641857,1.79309478929163,2.775299391695381,8.009061311146749e-13
92,1.4771340810105327,0.2180529671863901,1.250978275894967e-11,879.7190185189606,2.4837865560443982e-129,49.25114661945044,0.06872848679890135,0.0,1.5777931036117265,0.2214983350944277,1.0539379071639549e-12,0.001077049336851476,0.8459082492493099,index,childhood_onset,4.380373877961392,2.856937552595254,6.716168959764753,1.250978275894967e-11
