compartment,n_donors,mean_fraction,frac_slope_per_year,se,p
lymphocyte_T,9,0.17746799604543392,0.004127949408946983,0.004361171941647421,0.37540147717237143
lymphocyte_B,9,0.10442684912751009,-0.0030027736948551828,0.0031830569531368824,0.37690738574379085
monocyte,9,0.2925017923316086,-0.0031820749492204145,0.006950998852887003,0.6609767038703505
NK,9,0.07779183178722565,0.0010361041572128093,0.0034049962274057496,0.7697541294784567
neutrophil,9,0.34696918987142983,0.0009808872969219457,0.012589426141764795,0.9400771516023919
