cluster,n_snps,mean_z_crp,mean_z_wbc,mean_z_neutrophil_pct,mean_z_lymphocyte_pct,mean_z_monocyte_pct,mean_z_eosinophil_pct,dominant_components,top_genes,n_snps_ALLERG_ASTHMA,ivw_beta_ALLERG_ASTHMA,ivw_se_ALLERG_ASTHMA,ivw_p_ALLERG_ASTHMA,ivw_or_ALLERG_ASTHMA,n_snps_ALLERG_RHINITIS,ivw_beta_ALLERG_RHINITIS,ivw_se_ALLERG_RHINITIS,ivw_p_ALLERG_RHINITIS,ivw_or_ALLERG_RHINITIS,n_snps_L12_ATOPIC,ivw_beta_L12_ATOPIC,ivw_se_L12_ATOPIC,ivw_p_L12_ATOPIC,ivw_or_L12_ATOPIC
0,44,0.3714162659750055,-0.061128395787085135,-0.06613776138234591,0.3357504708913059,-0.3146056919322613,-0.1215814900483982,crp(+); lymphocyte_pct(+); monocyte_pct(-),EPS15L1(4); LEPR(2); AC116366.7(2); GTF3AP1(2); IL18R1(2); RP11-419N10.5(1); C12orf43(1); KLF3(1),44,1.0171896748835028,0.07439420064771124,0.0,2.765412126059803,44,0.6533094171437447,0.06836107298668351,0.0,1.9218906539873906,44,0.6332911845858887,0.04982846184298309,0.0,1.8838003224676099
1,16,-2.0131521875438416,-0.6897138353043187,0.2695613863423136,-0.02358431108168543,-0.254978737628722,0.11210295829487654,crp(-); wbc(-); neutrophil_pct(+),TOMM40(10); CTB-129P6.4(3); NECTIN2(2); CTB-129P6.7(1); APOC1(1); APOC1P1(1),16,0.08297145195328315,0.3472993570618922,0.811179473761914,1.0865107903446845,16,-0.8996732004238301,0.3169844339465021,0.004536516685782255,0.4067025482458568,16,1.4473308132501819,0.23165519809148677,4.163263067624712e-10,4.251750639292311
2,33,0.48085209993337075,0.4159112357424499,-0.042512747898599934,-0.43623247702759055,0.5431003105175468,0.10775570392156049,monocyte_pct(+); crp(+); lymphocyte_pct(-),TGFBR3(3); IRF8(3); ITGA4(2); RNY4P18(1); LTBR(1); EVI5(1); RP11-568J23.2(1); CCDC26(1),33,-3.4310743112180737,0.4096571069677593,0.0,0.03235216580203089,33,-2.680324333166124,0.37746242142005093,1.2394529846915248e-12,0.06854092045516952,33,-0.30744343067760843,0.2785262738142781,0.2696703563256202,0.7353244631778911
