drug,pt,a,b,c,d,n_drug_reports,n_pt_reports,ror,ror_lower,ror_upper,signal_ror_gt2
tocilizumab,hypersensitivity,514,826,24397,1128280,1340,24911,28.788184465212343,25.768940148058345,32.1611816412069,True
tocilizumab,anaphylaxis,21,1319,9675,1143002,1340,9696,1.9248763136809552,1.256409212430736,2.9489984523447945,False
tocilizumab,urticaria,173,1167,35444,1117233,1340,35617,4.684224324767711,3.9923309138552225,5.4960267568494485,True
tocilizumab,angioedema,2,1338,4671,1148006,1340,4673,0.45899676748958695,0.13268004105219194,1.5878652953010182,False
tocilizumab,pruritus,79,1261,50297,1102380,1340,50376,1.3812268016006308,1.1009269141484594,1.7328920321069052,False
tocilizumab,rash,512,828,68487,1084190,1340,68999,9.792546468366682,8.768826537065427,10.935780965649323,True
tocilizumab,eczema,0,1340,3161,1149516,1340,3161,0.13562045882237944,0.008476223594080347,2.1699414423232075,False
tocilizumab,allergic_rhinitis,0,1340,2766,1149911,1340,2766,0.15503756141392463,0.009689481460470393,2.4806947149068126,False
tocilizumab,asthma,77,1263,15422,1137255,1340,15499,4.523032654368001,3.5939988030570365,5.692217920350427,True
tocilizumab,bronchospasm,0,1340,1993,1150684,1340,1993,0.21529959312936758,0.013454409660599057,3.4452581697001285,False
tocilizumab,wheezing,70,1270,8941,1143736,1340,9011,7.0979027987309085,5.579373855077089,9.029727250556501,True
sarilumab,hypersensitivity,28,146,24883,1128960,174,24911,8.826215282671173,5.907734139067695,13.1864559884125,True
sarilumab,anaphylaxis,0,174,9696,1144147,174,9696,0.338097210215425,0.0210612446557811,5.427491367376355,False
sarilumab,urticaria,13,161,35604,1118239,174,35617,2.6253739971905836,1.506562317493863,4.575043823338253,True
sarilumab,angioedema,0,174,4673,1149170,174,4673,0.7045580718941125,0.04388599332957547,11.311173315441765,False
sarilumab,pruritus,15,159,50361,1103482,174,50376,2.129304657109661,1.2639598275556196,3.587090526094572,True
sarilumab,rash,25,149,68974,1084869,174,68999,2.6827977069030235,1.7627099808368532,4.0831467538109285,True
sarilumab,eczema,0,174,3161,1150682,174,3161,1.042886138611618,0.06495540309488677,16.74397273032806,False
sarilumab,allergic_rhinitis,0,174,2766,1151077,174,2766,1.1921982043658859,0.07425287599658234,19.141838473147672,False
sarilumab,asthma,2,172,15497,1138346,174,15499,1.0645443047148793,0.305404844628973,3.7106633919892196,False
