cycle,dependent,n,beta_log1pcrp,se,p,weighted_r,weighted_r_p
D,I,8127,0.31747739457043495,0.024199632208671752,2.5595660480058443e-39,0.1696587945966524,4.749308813059427e-30
D,I_nocrp,8127,0.28905993361179133,0.02457331194844115,6.042557378897734e-32,0.15479244412787455,3.260583560575068e-25
J,I,7240,0.22994785074191387,0.013260779686429497,2.32917495600756e-67,0.29474438363801025,1.0109328847403396e-63
J,I_nocrp,7240,0.14050994559066987,0.012417303225764413,1.0977670141852363e-29,0.18584749316903248,1.7712340570729671e-25
