cohort,outcome,n_snp,ivw_or,or_lo,or_hi,ivw_p,wm_or,Q,I2_pct
FinnGen_R12,asthma,13,3.85266599457749,2.688865876102671,5.520184326667767,1.974539956318921e-13,2.489899300372189,26.3311445112461,54.426591693062306
FinnGen_R12,allergic_rhinitis,13,2.6706042374827605,1.9201325477646451,3.7143930514400494,5.350834228932366e-09,2.349726572061049,17.17733067303289,30.140484406933542
FinnGen_R12,atopic_dermatitis,13,1.6006600183008857,1.2588504780484964,2.035279438554805,0.00012390945771094546,1.5176901124370314,30.617763926468673,60.807066026052446
PanUKB,asthma,13,2.3810261266285746,1.862040764962396,3.044662352385376,4.645124131701532e-12,2.3574387577790166,17.813101734604214,32.633854682991704
PanUKB,allergic_rhinitis,13,0.8027873199570034,0.28610760981834527,2.252535266338885,0.6764541834537071,1.6061917097955212,22.017332188674413,45.49748399502856
PanUKB,urticaria,13,2.015058184303514,0.29763021812223645,13.64263182598263,0.47273851343282336,1.5176528267769676,2.5676991123008333,0.0
