protein,k_platforms,platforms,meta_logor,meta_se,meta_or,or_lo,or_hi,meta_p,cochran_q,q_p,i2_pct,discovery_or
IL18,3,SCALLOP_Olink_Folkersen2020;AholaOlli_Luminex_2017;HELIC_Olink_Gilly2020,0.17108259979968582,0.017255241894796373,1.1865887569675726,1.1471290304638566,1.227405846047248,3.589064647669066e-23,1.229954401755562,0.5406532215876789,0.0,1.24
TNFSF14,2,INTERVAL_SomaScan_Sun2018;AGES_SomaScan_Gudjonsson2022,0.1255104465581919,0.03774092296617408,1.1337270124438739,1.0528894454294366,1.2207710356719057,0.0008823487605422379,3.1351919239136556,0.0766193681670743,68.10402602875739,1.17
