outcome,beta_full,se_full,beta_excluded,se_excluded,n_snps_full,n_snps_excluded,diff,se_diff,z,p,note
ALLERG_ASTHMA,1.2345712417627024,0.0846430400000468,1.2329391255200006,0.1904110529040856,66,12,-0.0016321162427017644,0.20837661406331567,-0.007832530776250363,0.9937506085201874,"SEs treated as independent (conservative: shared SNPs induce positive covariance, shrinking the true SE of the difference)"
ALLERG_RHINITIS,0.5256676234344337,0.0748444946867158,0.9823047529820976,0.1683217010362997,70,13,0.4566371295476639,0.18421154530773384,2.4788735623754232,0.013179801710935453,"SEs treated as independent (conservative: shared SNPs induce positive covariance, shrinking the true SE of the difference)"
L12_ATOPIC,0.3762838636590032,0.0539932657056154,0.4704160556243372,0.1225597296358961,71,13,0.09413219196533401,0.13392594994989257,0.7028674577298343,0.48213835299968144,"SEs treated as independent (conservative: shared SNPs induce positive covariance, shrinking the true SE of the difference)"
