tissue,cell_type,gene,n_cells,frac_detected,mean_expr
Small_Intestine,intestinal crypt stem cell of small intestine,IL13,557,0.0,0.0
Small_Intestine,intestinal tuft cell,IL13,433,0.0,0.0
Small_Intestine,macrophage,IL13,346,0.0,0.0
Small_Intestine,mast cell,IL13,236,0.07627118644067797,0.11176403801319963
Small_Intestine,monocyte,IL13,72,0.0,0.0
Small_Intestine,"naive thymus-derived CD4-positive, alpha-beta T cell",IL13,111,0.0,0.0
Small_Intestine,natural killer cell,IL13,155,0.0,0.0
Small_Intestine,neutrophil,IL13,73,0.0273972602739726,0.01046486765350381
Small_Intestine,paneth cell of epithelium of small intestine,IL13,1751,0.0,0.0
Small_Intestine,plasma cell,IL13,777,0.001287001287001287,2.194179355033806e-06
Small_Intestine,small intestine goblet cell,IL13,1947,0.0005136106831022085,0.0003449486106496379
Small_Intestine,B cell,GATA3,725,0.008275862068965517,0.005774439778821222
Small_Intestine,BEST4+ enterocyte,GATA3,836,0.0,0.0
Small_Intestine,"CD4-positive, alpha-beta T cell",GATA3,4900,0.39918367346938777,0.47186021591669747
Small_Intestine,"CD8-positive, alpha-beta T cell",GATA3,3316,0.36369119420989143,0.426448414093771
Small_Intestine,"activated CD4-positive, alpha-beta T cell",GATA3,550,0.3109090909090909,0.36693525252017106
Small_Intestine,"activated CD8-positive, alpha-beta T cell",GATA3,1095,0.25662100456621006,0.31293747563884683
Small_Intestine,endothelial cell of arteriole,GATA3,126,0.007936507936507936,0.007801347308688694
Small_Intestine,endothelial cell of lymphatic vessel,GATA3,70,0.0,0.0
Small_Intestine,enterocyte of epithelium proper of duodenum,GATA3,12825,0.00023391812865497077,0.00022165143234223185
Small_Intestine,enterocyte of epithelium proper of ileum,GATA3,6169,0.0016210082671421625,0.0005236116121240017
Small_Intestine,enterocyte of epithelium proper of jejunum,GATA3,388,0.0,0.0
Small_Intestine,enterocyte of epithelium proper of small intestine,GATA3,1357,0.013264554163596167,0.005749541943221625
Small_Intestine,enteroendocrine cell of small intestine,GATA3,248,0.004032258064516129,0.0016967666245275928
Small_Intestine,enteroglial cell,GATA3,135,0.014814814814814815,0.01097142254864728
Small_Intestine,fibroblast,GATA3,476,0.029411764705882353,0.022938224635705228
Small_Intestine,gamma-delta T cell,GATA3,118,0.5169491525423728,0.6504615873603498
Small_Intestine,intestinal crypt stem cell of small intestine,GATA3,557,0.0017953321364452424,0.0006208376460700317
Small_Intestine,intestinal tuft cell,GATA3,433,0.023094688221709007,0.016919421716044738
Small_Intestine,macrophage,GATA3,346,0.011560693641618497,0.0039551918545597895
Small_Intestine,mast cell,GATA3,236,0.012711864406779662,0.008602639123544855
Small_Intestine,monocyte,GATA3,72,0.013888888888888888,0.004186656326055527
Small_Intestine,"naive thymus-derived CD4-positive, alpha-beta T cell",GATA3,111,0.3063063063063063,0.3320273966402621
Small_Intestine,natural killer cell,GATA3,155,0.36774193548387096,0.4773326781488234
Small_Intestine,neutrophil,GATA3,73,0.0,0.0
Small_Intestine,paneth cell of epithelium of small intestine,GATA3,1751,0.006282124500285551,0.0017243013714574732
Small_Intestine,plasma cell,GATA3,777,0.0489060489060489,0.0202650555710343
Small_Intestine,small intestine goblet cell,GATA3,1947,0.0025680534155110425,0.0008677544983981142
