model,predictor,n,n_events,beta,se,hr,hr_lower,hr_upper,p
unweighted,I_z,4981,54,0.20173226463238825,0.11980515376232645,1.2235203845751665,0.9674555127958225,1.5473601748826866,0.09221331329369735
unweighted,age,4981,54,0.07617239966433378,0.011569138895701016,1.0791486029780897,1.0549537081439093,1.1038983969813219,4.5764044967044873e-11
unweighted,sex_female,4981,54,-0.21813421728083782,0.2766756591947994,0.8040175213788725,0.467470745209854,1.382854823127013,0.4304561608233721
unweighted,bmi,4981,54,-0.030545738037338704,0.023853729682988357,0.9699160689952993,0.9256130092945276,1.0163396273052532,0.2003540629966625
weighted,I_z,4981,54,0.06921828330539037,0.13380359253627128,1.0716701113131342,0.824451668333528,1.3930189865505789,0.6049379651877848
weighted,age,4981,54,0.1021592468383764,0.022920826787590446,1.107559833086798,1.0589040162887013,1.1584513468620272,8.309563617912403e-06
weighted,sex_female,4981,54,-0.038096967304428235,0.3661573779279672,0.9626195937382672,0.4696509930752088,1.9730320938562078,0.9171333710971671
weighted,bmi,4981,54,0.02919016060874849,0.04345568029222617,1.0296203690963974,0.9455552359454656,1.1211593613546904,0.5017603394433789
