gene,n_donors,total_gene_counts,primary_rr_per_decade,primary_ci_lo,primary_ci_hi,primary_p,q_primary_family,spearman_rho,spearman_p,pooled_poisson_rr_per_decade,pooled_poisson_p
IL4,12,2656.0,1.9733093478272752,0.7754998924592041,5.021212536695936,0.1842072853927855,0.46051821348196376,0.4411164427501008,0.15115751331223262,3.1537446101976787,2.9462324825365933e-254
IL13,12,142.0,1.1413254852774315,0.327093942216834,3.9824151267229557,0.8399174992610294,0.8399174992610294,0.5718129807661293,0.05207589417623057,2.658715742835054,1.0394564386795623e-11
GATA3,12,16.0,0.682392663151488,0.30080454838632353,1.5480475585260531,0.382032892874173,0.624166180522244,-0.16491579051513755,0.6085141755527179,0.7450355899054658,0.33435834216766236
FOXP3,12,2713.0,0.8173225807199835,0.4649645901292211,1.4367033858839047,0.49933294441779524,0.624166180522244,-0.0912286317569255,0.7779647906315891,1.2877871540845236,5.094091644942401e-18
IL5,12,5034.0,1.721795700411643,1.1492358045074993,2.5796102264900114,0.024973862083109283,0.12486931041554641,0.5676634425762845,0.05420083742111326,1.8385195821880007,4.674842780038236e-152
