outcome,n,events,HR,lower,upper,p,term,HR_perSD,lower_perSD,upper_perSD
mortality,36528,18276,37.98596226572751,33.99725883410355,42.44263739892552,0.0,,1.6113110651328255,1.5880359251506524,1.6349273385444194
mortality,36528,18276,0.9333038604427636,0.9242965892066104,0.9423989075466078,3.1425051816625135e-44,fi_x_age,0.9909877827477753,0.9897281047973375,0.9922490639552399
diabe,34023,6565,19.549993431563685,16.064282424863915,23.792052023601112,1.7549996344973594e-193,,1.4768743114433103,1.4393212371130413,1.5154071763549255
cancre,36385,5422,3.0549637390808204,2.424982874524491,3.848605920125813,2.5980306178489654e-21,,1.1577430234058206,1.1232008423423907,1.193347492020718
hearte,33715,8459,34.14882464729435,28.358725715768443,41.12110806668728,1.2203408734890524e-303,,1.5889626934000745,1.5507105032676438,1.628158470389526
stroke,37266,4341,30.933435580606687,24.316738376310923,39.35056675823442,7.006730425219645e-172,,1.5684865584828258,1.51974894175114,1.618787167113652
lunge,36858,3936,77.2959366052818,60.87132906281361,98.15231419577584,1.0867013219129057e-278,,1.7686661740761902,1.7141115612679023,1.8249570833111008
