trait,n_snps,h2,h2_se,intercept,intercept_se,mean_chi2,lambda_gc,intercept_ratio,mean_N
GrimAge,1175366,0.10451458977535343,0.017717614389813847,1.0142382772633398,0.006221123835403891,1.0751721531148744,1.072745020366781,0.18940893234202813,29369.733933089778
Hannum,1175315,0.1189965445617679,0.024952146811927197,1.011000002380377,0.007555126479971174,1.0801995852976018,1.049011751552148,0.1371578461354691,29054.026428659552
IEAA,1175374,0.1639275075443605,0.025892039697555692,0.9996845143252803,0.007801800897899301,1.094745293994269,1.0637348001428908,-0.003329829497798719,29376.59296360137
PhenoAge,1175371,0.0965436809364225,0.019548370526330527,1.0188176077634274,0.00858449081697616,1.0741146793335423,1.057489895336982,0.25389852499720794,29384.259099467316
Frailty,1168664,0.11084777654924406,0.005337449159583173,1.017248302478022,0.009240558000876602,1.3997523109722234,1.329721223818186,0.043147474084822446,175226.0
ALLERG_ASTHMA,1175751,0.040992335550461986,0.004489646840371183,1.0742114562453442,0.012438508946307651,1.3043390448715404,1.2376963402647372,0.2438446774933804,283740.0
ALLERG_RHINITIS,1175751,0.014769505269137995,0.001746032298730723,1.0554598962965898,0.010114369795995238,1.1997334815163174,1.1673547402298554,0.27766950175581306,490219.0
L12_ATOPIC,1175751,0.025860955764112417,0.004371821932163779,1.1227826481517718,0.020217567198881417,1.3617640780343045,1.2410337176386,0.33939977904641155,464119.0
