outcome,model,exposure,exposure_label,n_snps,beta,se,ci_lo,ci_hi,p,or,resid_Q,resid_Q_df,resid_Q_p,marginal_mean_F,cond_QA,cond_QA_over_k,cond_QA_chi2crit95,cond_strong,univ_frailty_beta_same_snps,univ_frailty_se_same_snps,univ_frailty_p_same_snps
ALLERG_ASTHMA,MVMR_IVW,frailty,Frailty index (per SD),64,0.9857039432527472,0.16409216293424836,0.6640833039016205,1.307324582603874,1.889710388169874e-09,2.679697575661158,106.39678506160783,60,0.00021119160848814822,45.54243375308051,631.7616643103192,9.871276004848738,83.67526074272097,True,1.1001786311846447,0.08934918888010424,0.0
ALLERG_ASTHMA,MVMR_IVW_LD_GLS,frailty,Frailty index (per SD),64,0.8845248468169549,0.1774577384083156,0.5367076795366563,1.2323420140972534,6.214623837763611e-07,2.421833376215407,109.69157074762371,60,9.549516043338979e-05,45.54243375308051,631.7616643103192,9.871276004848738,83.67526074272097,True,1.1001786311846447,0.08934918888010424,0.0
ALLERG_ASTHMA,MVMR_IVW,bmi,"BMI (Pan-UKBB, per SD)",64,-0.13320963177170544,0.3168585941978207,-0.7542524763994339,0.4878332128560231,0.674188015238482,0.8752815860454687,106.39678506160783,60,0.00021119160848814822,14.626905801621273,299.6306218685163,4.681728466695567,83.67526074272097,True,,,
ALLERG_ASTHMA,MVMR_IVW_LD_GLS,bmi,"BMI (Pan-UKBB, per SD)",64,-0.2855064284953788,0.31479180420481984,-0.9024983647368257,0.3314855077460681,0.36442315608503817,0.7516335092902678,109.69157074762371,60,9.549516043338979e-05,14.626905801621273,299.6306218685163,4.681728466695567,83.67526074272097,True,,,
ALLERG_ASTHMA,MVMR_IVW,smkinit,Smoking initiation (GSCAN),64,-1.7479312709105441,0.5525266207137324,-2.8308834475094597,-0.6649790943116287,0.0015587145517816925,0.17413380676376233,106.39678506160783,60,0.00021119160848814822,3.3781606263901858,163.65937024160513,2.55717766002508,83.67526074272097,True,,,
ALLERG_ASTHMA,MVMR_IVW_LD_GLS,smkinit,Smoking initiation (GSCAN),64,-1.5381696944609322,0.5404723955797651,-2.597495589797272,-0.47884379912459263,0.004427598758274032,0.21477384365388674,109.69157074762371,60,9.549516043338979e-05,3.3781606263901858,163.65937024160513,2.55717766002508,83.67526074272097,True,,,
ALLERG_ASTHMA,MVMR_IVW,edu,Educational attainment (Okbay 2016),64,-1.1321251886735595,0.5735103617285311,-2.2562054976614805,-0.008044879685638495,0.048378623402429266,0.32234747876608044,106.39678506160783,60,0.00021119160848814822,7.4725793925106805,91.62091407406245,1.4315767824072259,83.67526074272097,True,,,
ALLERG_ASTHMA,MVMR_IVW_LD_GLS,edu,Educational attainment (Okbay 2016),64,-1.5975445139869013,0.5793490922456386,-2.733068734788353,-0.4620202931854498,0.005824847538422384,0.20239288122777463,109.69157074762371,60,9.549516043338979e-05,7.4725793925106805,91.62091407406245,1.4315767824072259,83.67526074272097,True,,,
ALLERG_RHINITIS,MVMR_IVW,frailty,Frailty index (per SD),67,0.40674032369433377,0.1492738251152649,0.11416362646841455,0.699317020920253,0.00643417473010599,1.5019140435289438,86.18533537837449,63,0.027847298608672633,45.171647916565,648.2795425042028,9.675814067226908,87.10807219532191,True,0.4603943795941217,0.07972410673136322,7.702383841845517e-09
ALLERG_RHINITIS,MVMR_IVW_LD_GLS,frailty,Frailty index (per SD),67,0.3024393829671604,0.1610848426117964,-0.013286908551960519,0.6181656744862813,0.06044739494690754,1.3531556496546355,88.43445909396064,63,0.018995742774956192,45.171647916565,648.2795425042028,9.675814067226908,87.10807219532191,True,0.4603943795941217,0.07972410673136322,7.702383841845517e-09
