analysis,n_snp,ivw_b,ivw_se,ivw_p,ivw_rand_b,ivw_rand_se,ivw_rand_p,cochran_Q,cochran_Q_p,wm_b,wm_se,wm_p,egger_b,egger_se,egger_p,egger_intercept,egger_intercept_p,outcome,n_steiger_removed,ivw_q
BBJ index -> asthma,28,0.3800041135924137,0.1921773808203358,0.04800080631659598,0.3800041135924137,0.30192923511420533,0.20817966067799487,66.64530464902138,3.331278723406328e-05,-0.3415965073287197,0.7478768152317061,0.6478471223366675,0.290696167352558,0.28089802772733985,0.3007242635133842,0.010554207142862974,0.02393477274431656,asthma,19.0,0.04800080631659598
EUR index -> FinnGen asthma (reference),93,0.8414810043551096,0.07162353416886337,0.0,0.8414810043551096,0.18989386188312932,9.365675015082786e-06,646.6930405553165,0.0,0.8497319963536918,0.4735674663874822,0.07276196615025898,0.8438130605464105,0.19121810513204562,1.0202793770730523e-05,0.0010177688206270536,0.8357187110093662,asthma,,
BBJ index -> allergic rhinitis,28,0.5209241848006951,0.23550244376916984,0.02696878357036603,0.5209241848006951,0.23550244376916984,0.02696878357036603,21.533420549537606,0.760692107069878,0.09963296287587672,0.4653655805510346,0.830472105299493,0.5103791701520654,0.2132731908580799,0.016707733799320668,0.0022700650618194566,0.5262538439563288,allergic rhinitis,19.0,0.04045317535554904
EUR index -> FinnGen allergic rhinitis (reference),93,0.4850807357802657,0.06580151918721336,1.6830981053317373e-13,0.4850807357802657,0.14256532748966613,0.0006676856912766205,431.8608333754709,0.0,0.5013254329990884,0.16144836656838857,0.0019016647115581709,0.49176104769817924,0.1431358680999761,0.0005911904809918767,0.0028351121817072906,0.44044549871341243,allergic rhinitis,,
BBJ index -> atopic dermatitis,27,-1.1981611990416026,0.3409719149279363,0.00044148158362067313,-1.1981611990416026,0.5458923805220168,0.02817313601589566,66.64233352722032,2.0184258883615414e-05,-0.9513914528826619,0.7906251865699159,0.22884451142012163,-1.246730202350717,0.547348558208895,0.02274071187943827,0.009294518122175336,0.31394600309267046,atopic dermatitis,20.0,0.0013244447508620194
EUR index -> FinnGen atopic dermatitis (reference),93,0.6402973800129684,0.04798585709608565,0.0,0.6402973800129684,0.1142381980357451,2.0833623270988255e-08,521.4155787102993,0.0,0.4602136498516315,0.2738383206478974,0.0928399486291438,0.6366771176540489,0.1148699783103419,2.9803125078942116e-08,-0.0015985131806700108,0.587375942608924,atopic dermatitis,,
