instrument,outcome,n_snp,mean_F,ivw_beta,ivw_se,ivw_or,or_lo,or_hi,ivw_p,ivw_re_p,wm_or,egger_or,egger_int_p,Q,Q_p,I2_pct
eosinophil_free_index,UKB_asthma,81,1212.7674232922059,0.6183298384892272,0.11832153168799668,1.8558259230203842,1.0484969901987893,3.2847875470786807,1.733627022329682e-07,0.03379017240276746,2.7389592317417395,1.9320006212991079,3.143109861983383e-07,484.9311813172079,2.924530923714448e-59,83.50281378427806
eosinophil_only,UKB_asthma,17,946.9742253173216,1.1071761900163006,0.05296000919092256,3.0258020293675325,1.9745773206477504,4.636677341113828,4.732781947053678e-97,3.6909773316611023e-07,4.369283035224345,3.022871346704691,0.06541200147836558,270.523490386569,3.127957681258397e-48,94.08554134166444
full_index,UKB_asthma,98,1166.6604399700323,1.0255862728633722,0.04833879722336025,2.7887299380800985,2.135506762414167,3.641765413448001,6.706479410398688e-100,4.99809366246849e-14,4.226034011861847,2.8032690849496613,0.00013411951781095815,769.675102943986,2.969812353695307e-105,87.39727975752656
eosinophil_free_index,UKB_allergic_rhinitis,81,1212.7674232922059,0.4254778687934285,0.49493070332859707,1.530321537867037,0.5716040555729138,4.097038826837019,0.38997009505099545,0.39709566895422344,1.4743386585415117,1.6561442001892452,0.02170592330589219,82.4467078002511,0.4035786148179594,2.9676234085403377
eosinophil_only,UKB_allergic_rhinitis,17,946.9742253173216,0.45838793619220924,0.2222300403542134,1.5815224138547275,1.0230793573192551,2.444788986925452,0.03914369308494851,0.03914369308494851,1.9546562338386215,1.579707798819068,0.7063581586427644,15.216996799287216,0.5088064375427463,0.0
full_index,UKB_allergic_rhinitis,98,1166.6604399700323,0.45286612958480743,0.20273120723978041,1.5728136192078994,1.0556412076281494,2.343355548163888,0.025494560514168634,0.02600211122203161,1.9546562338386215,1.5911204276669515,0.06530663239556556,97.66738423193225,0.46189291232423807,0.683323544682428
eosinophil_free_index,UKB_urticaria_control,81,1212.7674232922059,-0.9467918733774817,0.9191223557002474,0.387983729941913,0.06403844386635303,2.350640734084596,0.3029610558296194,0.3029610558296194,0.24513474780800373,0.3938432021472592,0.8114106911773691,54.18482271420658,0.9880815281048767,0.0
eosinophil_only,UKB_urticaria_control,17,946.9742253173216,0.2750883024551439,0.41199015938010447,1.3166469328913435,0.5871867245868245,2.952313247735643,0.5043212775888951,0.5043212775888951,1.0482523974714943,1.3056357831991876,0.1559211996703149,13.83171806085318,0.6112489480738055,0.0
full_index,UKB_urticaria_control,98,1166.6604399700323,0.07066004705156247,0.3759494738379285,1.0732163207940284,0.5136562961800416,2.242342359636834,0.8509151306389161,0.8509151306389161,1.0482523974714943,1.0682719045699305,0.689932789124696,69.48816136490137,0.9842832515888237,0.0
