prism_name,target_gene,chembl_id,chembl_name,matrix_row_id,prism_id,name,dose,mean_lfc,median_lfc,std_lfc,n_cell_lines,target_median_gene_effect,abs_essentiality,senolytic_proxy
PD-81723,SRC,CHEMBL3545196,PD-0166285,BRD:BRD-K77951111-001-05-9,BRD-K77951111-001-05-9,PD-81723,2.5,-0.183657757584126,-0.165531076151371,0.40414050962091375,895,-0.14711551734479106,0.14711551734479106,0.16010397802763188
PF-06409577,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00003731-001-01-9,BRD-K00003731-001-01-9,PF-06409577,2.5,-0.3377954697901343,-0.3207916541651435,0.48780618753223887,890,-1.1977861924570643,1.1977861924570643,0.1536980580501729
delgocitinib,JAK1,CHEMBL4297507,DELGOCITINIB,BRD:BRD-K00003500-001-01-9,BRD-K00003500-001-01-9,delgocitinib,2.5,-0.15766870794569204,-0.134349910322879,0.4766522501342689,895,-0.0474361734625947,0.0474361734625947,0.15052822495567802
JNJ-38877618,SRC,CHEMBL3545133,JNJ-26483327,BRD:BRD-K00003094-001-01-9,BRD-K00003094-001-01-9,JNJ-38877618,2.5,-0.16777121037654374,-0.0975306952954226,0.6176416214859807,895,-0.14711551734479106,0.14711551734479106,0.1462548521398097
PF-06412562,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004652-001-01-9,BRD-K00004652-001-01-9,PF-06412562,2.5,-0.1461069103710159,-0.109453136490365,0.4420926042515953,895,0.006465410950045,0.006465410950045,0.14516833741270793
JNJ-678,SRC,CHEMBL3545133,JNJ-26483327,BRD:BRD-K00004600-001-01-9,BRD-K00004600-001-01-9,JNJ-678,2.5,-0.16629507627553988,-0.151869726946275,0.489975629699994,895,-0.14711551734479106,0.14711551734479106,0.14496802960216273
PF-06840003,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00003400-001-01-9,BRD-K00003400-001-01-9,PF-06840003,2.5,-0.14236211844180627,-0.131335391127593,0.41055967636430085,895,0.006465410950045,0.006465410950045,0.14144760156975952
delgocitinib,JAK3,CHEMBL4297507,DELGOCITINIB,BRD:BRD-K00003500-001-01-9,BRD-K00003500-001-01-9,delgocitinib,2.5,-0.15766870794569204,-0.134349910322879,0.4766522501342689,895,-0.11882528663470629,0.11882528663470629,0.1409234398160063
upadacitinib,JAK1,CHEMBL3622821,UPADACITINIB,BRD:BRD-K00003286-001-01-9,BRD-K00003286-001-01-9,upadacitinib,2.5,-0.13781711694196874,-0.0379989393880344,0.7385437941023599,895,-0.0474361734625947,0.0474361734625947,0.13157567060757078
PF-4191834,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004633-001-01-9,BRD-K00004633-001-01-9,PF-4191834,2.5,-0.27997294951283386,-0.193899818846308,0.5239998790702735,895,-1.1977861924570643,1.1977861924570643,0.1273886197273047
