age_band,n,events,HR,lower,upper,p
50-65,25178,8148,62.44607331743946,53.548025356697465,72.82270535265027,0.0
65-80,8765,7608,27.939712613830675,23.24504675439466,33.58253262260551,1.003661322491663e-275
80-200,2585,2520,15.283840535034804,11.015539758146616,21.20602227663112,7.185156657878207e-60
