trait,status,n_snps_ldmerged,mean_chi2
GrimAge,OK,1175366,1.0751721531148744
Hannum,OK,1175315,1.0801995852976018
IEAA,OK,1175374,1.094745293994269
PhenoAge,OK,1175371,1.0741146793335423
Frailty,OK,1168664,1.3997523109722234
ALLERG_ASTHMA,OK,1175751,1.3043390448715404
ALLERG_RHINITIS,OK,1175751,1.1997334815163174
L12_ATOPIC,OK,1175751,1.3617640780343045
