trait1,trait2,n_snps,gencov,gencov_se,rg,rg_se,z,p,rg_clip,cross_intercept,cross_intercept_se,mean_z1z2,q_bh
GrimAge,Hannum,1175301,0.020175113234610617,0.013139211800400934,0.1809090718698629,0.10103296947480978,1.7905944248720551,0.07335840235179872,0.1809090718698629,0.41494009839807394,0.004813282796022069,0.42912979930212297,0.12082560387355083
GrimAge,IEAA,1175357,0.031771934645062366,0.012848490406159452,0.24273325659222475,0.09183067580530138,2.6432698492480413,0.008210956632942867,0.24273325659222475,0.13311323667901573,0.004446861008927615,0.1523818053565054,0.016421913265885733
GrimAge,PhenoAge,1175357,0.06752391869476088,0.012964299850971955,0.6722135331411303,0.09923025704110183,6.774279873755592,1.2502743559887898e-11,0.6722135331411303,0.3797311480762623,0.004770917758065971,0.41868431118158944,3.889742440854013e-11
GrimAge,Frailty,1165110,0.031490156192843365,0.005759331184941291,0.2925653314039992,0.0570318140130167,5.129861928242811,2.899547752971654e-07,0.2925653314039992,0.0005129612354405004,0.00501565823963328,0.04337541843839723,7.380667007564209e-07
GrimAge,ALLERG_ASTHMA,1167344,0.010772226536761086,0.004702969536463186,0.16457569062724708,0.07046535227043399,2.3355547843659914,0.01951445748207015,0.16457569062724708,0.005417922349227187,0.005244348698861913,0.02600327503478391,0.034150300593622764
GrimAge,ALLERG_RHINITIS,1167344,-0.00014051568381411524,0.0033149521135093403,-0.003576459957794409,0.08500165613333324,-0.04207517971396215,0.9664387663632997,-0.003576459957794409,0.007296530616165656,0.0047566783016003925,0.007031811881935465,0.9664387663632997
GrimAge,L12_ATOPIC,1167344,0.004725735123476176,0.0037589744629469043,0.09089890048467074,0.07266278967203338,1.2509690433707106,0.21094577192644814,0.09089890048467074,0.002922957265840153,0.0053910097158247254,0.012380538877595932,0.2684764369972976
Hannum,IEAA,1175303,0.0870512017436129,0.01438319805726418,0.6232778279515327,0.07598584991674645,8.202551246507399,2.3533836432853707e-16,0.6232778279515327,0.3647065771439595,0.004943787745585256,0.41500337901218054,1.3178948402398075e-15
Hannum,PhenoAge,1175300,0.05581632790276415,0.013555112030086525,0.5207534543612996,0.08915583567944324,5.8409351490310835,5.190860991818058e-09,0.5207534543612996,0.4704197332483621,0.004973426109445517,0.5022181997230669,1.4534410777090563e-08
Hannum,Frailty,1165069,0.006631364405008681,0.005848838927976065,0.05773939453302669,0.05261563170544118,1.0973809999330606,0.2724748756090477,0.05773939453302669,0.00243802413839984,0.004562888700217583,0.013024509470567101,0.33170854421971024
Hannum,ALLERG_ASTHMA,1167293,0.007915039140752454,0.004445647416983151,0.1133273047363244,0.0648452058680512,1.7476589551882353,0.08052310010149774,0.1133273047363244,-0.0019773839258860515,0.004660329189578081,0.01343706211669298,0.12525815571344093
Hannum,ALLERG_RHINITIS,1167293,0.0015042280660697732,0.0035566344640638936,0.035880917378571776,0.08406544466156352,0.4268212405587534,0.6695095344090213,0.035880917378571776,0.003089376246848684,0.004352251717735687,0.007875030358722663,0.6943061838315776
Hannum,L12_ATOPIC,1167293,0.006448171088952366,0.0038336295630663477,0.11623772225383906,0.07066562136386823,1.6448977594821255,0.09999089705678482,0.11623772225383906,-0.003775941032296933,0.005218186647839054,0.009473518017928905,0.14735500618894604
IEAA,PhenoAge,1175361,0.0707292631562316,0.015626799575192467,0.5622264708427249,0.08208865922261262,6.84901515223982,7.4360121549941e-12,0.5622264708427249,0.38691347179494845,0.006402023729464791,0.42689758168024927,2.6026042542479353e-11
IEAA,Frailty,1165120,0.008847340956764874,0.0060409500471636235,0.06563316588426368,0.0454495511196083,1.444088319190188,0.14871413337716957,0.06563316588426368,-0.0011422697857780665,0.005089970035614815,0.011633831734526529,0.2081997867280374
IEAA,ALLERG_ASTHMA,1167351,0.006773486560413817,0.0049214986425628925,0.08262948083564081,0.059531121702225756,1.38800476915172,0.16513559288125146,0.08262948083564081,-0.004146220114117979,0.006039550934675473,0.009891269906519716,0.22018079050833528
IEAA,ALLERG_RHINITIS,1167351,-0.0015508503522395692,0.003522531524143312,-0.03151817054432429,0.07262161943694755,-0.4340053387502518,0.6642845642099584,-0.03151817054432429,0.0092426115912152,0.005516039032766707,0.006066039918570981,0.6943061838315776
