gene,ensembl,approvedSymbol,biotype,gnomad_lof_score,n_associated_diseases,tract_SM_Approved Drug,tract_SM_Advanced Clinical,tract_SM_Phase 1 Clinical,tract_SM_Structure with Ligand,tract_SM_High-Quality Ligand,tract_SM_High-Quality Pocket,tract_SM_Med-Quality Pocket,tract_SM_Druggable Family,tract_AB_Approved Drug,tract_AB_Advanced Clinical,tract_AB_Phase 1 Clinical,tract_AB_UniProt loc high conf,tract_AB_GO CC high conf,tract_AB_UniProt loc med conf,tract_AB_UniProt SigP or TMHMM,tract_AB_GO CC med conf,tract_AB_Human Protein Atlas loc,tract_PR_Approved Drug,tract_PR_Advanced Clinical,tract_PR_Phase 1 Clinical,tract_PR_Literature,tract_PR_UniProt Ubiquitination,tract_PR_Database Ubiquitination,tract_PR_Half-life Data,tract_PR_Small Molecule Binder,tract_OC_Approved Drug,tract_OC_Advanced Clinical,tract_OC_Phase 1 Clinical
IL18,ENSG00000150782,IL18,protein_coding,0.31775999069213867,1985,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False
TNFSF14,ENSG00000125735,TNFSF14,protein_coding,0.002467100042849779,702,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
IL33,ENSG00000137033,IL33,protein_coding,3.401100059363671e-07,1295,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IL4,ENSG00000113520,IL4,protein_coding,0.3403800129890442,2237,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
IL13,ENSG00000169194,IL13,protein_coding,0.004426199942827225,1388,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
IL5,ENSG00000113525,IL5,protein_coding,0.021292999386787415,1192,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
TSLP,ENSG00000145777,TSLP,protein_coding,5.906699880142696e-05,515,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
IL4R,ENSG00000077238,IL4R,protein_coding,0.5010899901390076,754,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False
IL1RL1,ENSG00000115602,IL1RL1,protein_coding,8.591499863541685e-06,540,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
