cycle,outcome,n,n_events,I_or,I_or_lo,I_or_hi,I_wald_p,pseudo_lr_stat,pseudo_lr_p,aic_base,aic_full,delta_aic
D,allergy_composite,7857,2367,1.285000275256093,1.1449214682367774,1.4422174386782922,2.061292071957404e-05,63.10395143553251,1.960803541840307e-15,8294.625890878486,8233.521939442955,61.10395143553069
D,asthma_ever,7863,1119,1.450318432751778,1.3024995282765053,1.6149131041627844,1.2127603676278012e-11,114.31247161000556,1.1131045555971793e-26,6537.543249242583,6425.230777632578,112.31247161000556
D,hay_fever,5395,1521,1.1058363341354291,0.9696199044574454,1.2611890414712024,0.13361405460614945,5.746157798520471,0.01652476024069905,5374.06602193905,5370.319864140529,3.7461577985213808
J,allergy_composite,7021,1092,1.4348010732151717,1.2960547870630277,1.588400536959164,3.457776269560767e-12,98.5419301585489,3.1821500708736626e-23,5968.665053434119,5872.123123275571,96.54193015854798
J,hay_fever,669,167,1.361698649664701,1.0719923942359209,1.7296981046402822,0.011419139671224373,14.270497018721358,0.00015832714099344402,712.3549482438759,700.0844512251545,12.270497018721471
