cycle,n,n_eff,weighted_pearson_r,fisher_p,spearman_rho_unweighted,spearman_p
D,8127,4422.5,0.20287474075913678,1.399219828407231e-42,0.28086657153022754,3.318585700247833e-147
J,7240,3081.0,0.2424096571198162,7.50254143314788e-43,0.28129914050073396,9.06450178671458e-132
pooled_FE,15367,7503.5,0.21919350274423316,6.199168131856196e-83,,
