source,drug,target,r5_09_axis,ae_domain,n_drug_reports,n_domain_reports,n_overlap_reports,db_total_reports,ror,ror_lower,ror_upper,signal_ror_gt2,note
CanadaVigilance,reslizumab,IL5,IL5 axis (R5-09 positive control: IL5),infection,49,126059,11,1154017,2.4359,1.2607,4.7068,True,
CanadaVigilance,reslizumab,IL5,IL5 axis (R5-09 positive control: IL5),malignancy,49,48588,1,1154017,0.7036,0.1386,3.573,False,
CanadaVigilance,benralizumab,IL5RA,IL5 axis (R5-09 positive control: IL5),ageing_general,1429,12,0,1154017,32.2512,1.9085,544.9983,False,
CanadaVigilance,benralizumab,IL5RA,IL5 axis (R5-09 positive control: IL5),immunosenescence,1429,3095,4,1154017,1.1738,0.4649,2.9633,False,
CanadaVigilance,benralizumab,IL5RA,IL5 axis (R5-09 positive control: IL5),infection,1429,126059,260,1154017,1.8181,1.5894,2.0796,False,
CanadaVigilance,benralizumab,IL5RA,IL5 axis (R5-09 positive control: IL5),malignancy,1429,48588,68,1154017,1.1448,0.898,1.4596,False,
CanadaVigilance,omalizumab,IGHE,IgE (background; not in INTERVAL pQTL panel),ageing_general,11592,12,0,1154017,3.9419,0.2334,66.5848,False,
CanadaVigilance,omalizumab,IGHE,IgE (background; not in INTERVAL pQTL panel),immunosenescence,11592,3095,128,1154017,4.3038,3.6036,5.1401,True,
CanadaVigilance,omalizumab,IGHE,IgE (background; not in INTERVAL pQTL panel),infection,11592,126059,3535,1154017,3.6525,3.5093,3.8015,True,
CanadaVigilance,omalizumab,IGHE,IgE (background; not in INTERVAL pQTL panel),malignancy,11592,48588,509,1154017,1.0463,0.957,1.144,False,
CanadaVigilance,tezepelumab,TSLP,TSLP axis (R5-09 positive control: TSLP),ageing_general,277,12,0,1154017,166.3032,9.8219,2815.8321,False,
CanadaVigilance,tezepelumab,TSLP,TSLP axis (R5-09 positive control: TSLP),immunosenescence,277,3095,0,1154017,0.6698,0.0418,10.7375,False,
CanadaVigilance,tezepelumab,TSLP,TSLP axis (R5-09 positive control: TSLP),infection,277,126059,63,1154017,2.4148,1.8249,3.1953,True,
CanadaVigilance,tezepelumab,TSLP,TSLP axis (R5-09 positive control: TSLP),malignancy,277,48588,17,1154017,1.5285,0.942,2.4804,False,
CanadaVigilance,lebrikizumab,IL13,IL13 axis (R5-09 positive control: IL13),ageing_general,0,12,0,1154017,92320.44,1761.6647,4838073.702,False,
CanadaVigilance,lebrikizumab,IL13,IL13 axis (R5-09 positive control: IL13),immunosenescence,0,3095,0,1154017,371.805,7.3758,18742.1138,False,
CanadaVigilance,lebrikizumab,IL13,IL13 axis (R5-09 positive control: IL13),infection,0,126059,0,1154017,8.1546,0.1618,410.9947,False,
CanadaVigilance,lebrikizumab,IL13,IL13 axis (R5-09 positive control: IL13),malignancy,0,48588,0,1154017,22.7508,0.4514,1146.6648,False,
CanadaVigilance,tralokinumab,IL13,IL13 axis (R5-09 positive control: IL13),ageing_general,118,12,0,1154017,389.4979,22.9284,6616.6182,False,
CanadaVigilance,tralokinumab,IL13,IL13 axis (R5-09 positive control: IL13),immunosenescence,118,3095,1,1154017,4.7475,0.9481,23.7723,False,
CanadaVigilance,tralokinumab,IL13,IL13 axis (R5-09 positive control: IL13),infection,118,126059,9,1154017,0.7074,0.3646,1.3728,False,
CanadaVigilance,tralokinumab,IL13,IL13 axis (R5-09 positive control: IL13),malignancy,118,48588,2,1154017,0.4882,0.1395,1.7088,False,
ClinicalTrials.gov,abatacept,,,,0,0,0,344,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,adalimumab,,,,0,0,0,872,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,anakinra,,,,0,0,0,583,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,azathioprine,,,,0,0,0,473,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,baricitinib,,,,0,0,0,202,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,canakinumab,,,,0,0,0,125,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,certolizumab,,,,0,0,0,201,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,cyclosporine,,,,0,0,0,1000,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,dasatinib,,,,0,0,0,448,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,etanercept,,,,0,0,0,569,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,everolimus,,,,0,0,0,1000,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,fisetin,,,,0,0,0,34,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,golimumab,,,,0,0,0,193,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,infliximab,,,,0,0,0,746,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,methotrexate,,,,0,0,0,1000,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,quercetin,,,,0,0,0,154,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,ruxolitinib,,,,0,0,0,491,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,sarilumab,,,,0,0,0,83,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,sirolimus,,,,0,0,0,1000,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,temsirolimus,,,,0,0,0,1000,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,tocilizumab,,,,0,0,0,693,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,tofacitinib,,,,0,0,0,331,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
ClinicalTrials.gov,upadacitinib,,,,0,0,0,171,,,,False,no resultsSection/adverseEventsModule in dump; registration counts only
